departamento|electores_abiles|part_ciudadana|part_ciudadana_porc|actas_procesadas_porc|voto_valido_castillo|voto_valido_keiko|voto_castillo_porc|voto_keiko_porc
APURIMAC|314,107|225,914|71.923|100.0|173,452|39,432|81.47999999999999|18.52
TUMBES|165,623|129,688|78.303|100.0|40,974|79,065|34.13|65.86999999999999
CALLAO|808,366|642,766|79.514|100.0|195,098|403,813|32.58|67.42
PUNO|917,565|753,180|82.085|100.0|642,724|77,384|89.25|10.75
TACNA|279,720|221,978|79.357|100.0|152,532|57,635|72.58|27.42
LIMA|8,132,290|6,480,149|79.684|100.0|2,157,079|3,932,426|35.42|64.58
ANCASH|878,750|643,373|73.215|99.968|345,199|245,356|58.45|41.55
ICA|645,383|515,871|79.933|99.955|231,689|255,973|47.510000000000005|52.49
AREQUIPA|1,134,942|904,623|79.707|99.949|553,405|299,821|64.86|35.14
LA LIBERTAD|1,408,610|1,047,485|74.363|99.876|387,239|580,673|40.01|59.99
CAJAMARCA|1,094,175|758,213|69.295|99.817|506,588|203,814|71.31|28.689999999999998
SAN MARTIN|629,111|459,559|73.049|99.726|239,115|187,170|56.089999999999996|43.91
LAMBAYEQUE|966,462|739,146|76.48|99.37|286,018|400,856|41.64|58.36
HUANUCO|569,855|394,336|69.199|97.562|249,514|118,624|67.78|32.22
PIURA|1,330,351|1,009,604|75.89|97.09|368,006|568,915|39.28|60.72
MOQUEGUA|142,782|112,191|78.575|96.756|77,005|29,154|72.54|27.46
JUNIN|941,124|703,072|74.706|96.438|381,615|275,513|58.07|41.93
CUSCO|931,739|715,373|76.778|91.01|559,917|114,844|82.98|17.02
UCAYALI|347,938|247,308|71.078|90.888|109,803|121,310|47.510000000000005|52.49
HUANCAVELICA|267,491|186,557|69.743|90.128|150,905|26,122|85.24000000000001|14.760000000000002
MADRE DE DIOS|102,615|76,673|74.719|88.889|50,717|21,559|70.17|29.830000000000002
AMAZONAS|256,611|170,779|66.552|84.796|102,712|57,069|64.28|35.72
PASCO|167,228|115,907|69.311|83.741|73,496|35,772|67.25999999999999|32.74
AYACUCHO|385,921|282,191|73.121|81.984|219,562|48,251|81.98|18.02
LORETO|471,101|319,149|67.745|67.684|138,067|159,168|46.45|53.55
